Measure;Time;val
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-04;74
Ongoing intensive care treatment periods;2020-04-04;43
Ongoing treatment periods at specialised medical care wards;2020-04-05;
Ongoing treatment periods primary health care wards;2020-04-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-05;82
Ongoing intensive care treatment periods;2020-04-05;47
Ongoing treatment periods at specialised medical care wards;2020-04-06;
Ongoing treatment periods primary health care wards;2020-04-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-06;101
Ongoing intensive care treatment periods;2020-04-06;48
Ongoing treatment periods at specialised medical care wards;2020-04-07;
Ongoing treatment periods primary health care wards;2020-04-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-07;101
Ongoing intensive care treatment periods;2020-04-07;48
Ongoing treatment periods at specialised medical care wards;2020-04-08;
Ongoing treatment periods primary health care wards;2020-04-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-08;103
Ongoing intensive care treatment periods;2020-04-08;49
Ongoing treatment periods at specialised medical care wards;2020-04-09;
Ongoing treatment periods primary health care wards;2020-04-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-09;107
Ongoing intensive care treatment periods;2020-04-09;49
Ongoing treatment periods at specialised medical care wards;2020-04-10;
Ongoing treatment periods primary health care wards;2020-04-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-10;102
Ongoing intensive care treatment periods;2020-04-10;52
Ongoing treatment periods at specialised medical care wards;2020-04-11;
Ongoing treatment periods primary health care wards;2020-04-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-11;110
Ongoing intensive care treatment periods;2020-04-11;52
Ongoing treatment periods at specialised medical care wards;2020-04-12;
Ongoing treatment periods primary health care wards;2020-04-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-12;112
Ongoing intensive care treatment periods;2020-04-12;51
Ongoing treatment periods at specialised medical care wards;2020-04-13;
Ongoing treatment periods primary health care wards;2020-04-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-13;111
Ongoing intensive care treatment periods;2020-04-13;49
Ongoing treatment periods at specialised medical care wards;2020-04-14;
Ongoing treatment periods primary health care wards;2020-04-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-14;113
Ongoing intensive care treatment periods;2020-04-14;49
Ongoing treatment periods at specialised medical care wards;2020-04-15;
Ongoing treatment periods primary health care wards;2020-04-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-15;109
Ongoing intensive care treatment periods;2020-04-15;50
Ongoing treatment periods at specialised medical care wards;2020-04-16;
Ongoing treatment periods primary health care wards;2020-04-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-16;94
Ongoing intensive care treatment periods;2020-04-16;52
Ongoing treatment periods at specialised medical care wards;2020-04-17;
Ongoing treatment periods primary health care wards;2020-04-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-17;97
Ongoing intensive care treatment periods;2020-04-17;50
Ongoing treatment periods at specialised medical care wards;2020-04-18;
Ongoing treatment periods primary health care wards;2020-04-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-18;97
Ongoing intensive care treatment periods;2020-04-18;47
Ongoing treatment periods at specialised medical care wards;2020-04-19;
Ongoing treatment periods primary health care wards;2020-04-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-19;94
Ongoing intensive care treatment periods;2020-04-19;46
Ongoing treatment periods at specialised medical care wards;2020-04-20;
Ongoing treatment periods primary health care wards;2020-04-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-20;102
Ongoing intensive care treatment periods;2020-04-20;45
Ongoing treatment periods at specialised medical care wards;2020-04-21;
Ongoing treatment periods primary health care wards;2020-04-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-21;103
Ongoing intensive care treatment periods;2020-04-21;41
Ongoing treatment periods at specialised medical care wards;2020-04-22;
Ongoing treatment periods primary health care wards;2020-04-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-22;100
Ongoing intensive care treatment periods;2020-04-22;44
Ongoing treatment periods at specialised medical care wards;2020-04-23;
Ongoing treatment periods primary health care wards;2020-04-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-23;108
Ongoing intensive care treatment periods;2020-04-23;42
Ongoing treatment periods at specialised medical care wards;2020-04-24;
Ongoing treatment periods primary health care wards;2020-04-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-24;106
Ongoing intensive care treatment periods;2020-04-24;43
Ongoing treatment periods at specialised medical care wards;2020-04-25;
Ongoing treatment periods primary health care wards;2020-04-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-25;103
Ongoing intensive care treatment periods;2020-04-25;43
Ongoing treatment periods at specialised medical care wards;2020-04-26;
Ongoing treatment periods primary health care wards;2020-04-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-26;101
Ongoing intensive care treatment periods;2020-04-26;46
Ongoing treatment periods at specialised medical care wards;2020-04-27;
Ongoing treatment periods primary health care wards;2020-04-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-27;105
Ongoing intensive care treatment periods;2020-04-27;41
Ongoing treatment periods at specialised medical care wards;2020-04-28;
Ongoing treatment periods primary health care wards;2020-04-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-28;113
Ongoing intensive care treatment periods;2020-04-28;41
Ongoing treatment periods at specialised medical care wards;2020-04-29;
Ongoing treatment periods primary health care wards;2020-04-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-29;124
Ongoing intensive care treatment periods;2020-04-29;35
Ongoing treatment periods at specialised medical care wards;2020-04-30;
Ongoing treatment periods primary health care wards;2020-04-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-30;110
Ongoing intensive care treatment periods;2020-04-30;32
Ongoing treatment periods at specialised medical care wards;2020-05-01;
Ongoing treatment periods primary health care wards;2020-05-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-01;111
Ongoing intensive care treatment periods;2020-05-01;32
Ongoing treatment periods at specialised medical care wards;2020-05-02;
Ongoing treatment periods primary health care wards;2020-05-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-02;105
Ongoing intensive care treatment periods;2020-05-02;34
Ongoing treatment periods at specialised medical care wards;2020-05-03;
Ongoing treatment periods primary health care wards;2020-05-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-03;107
Ongoing intensive care treatment periods;2020-05-03;34
Ongoing treatment periods at specialised medical care wards;2020-05-04;
Ongoing treatment periods primary health care wards;2020-05-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-04;119
Ongoing intensive care treatment periods;2020-05-04;34
Ongoing treatment periods at specialised medical care wards;2020-05-05;
Ongoing treatment periods primary health care wards;2020-05-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-05;122
Ongoing intensive care treatment periods;2020-05-05;33
Ongoing treatment periods at specialised medical care wards;2020-05-06;
Ongoing treatment periods primary health care wards;2020-05-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-06;121
Ongoing intensive care treatment periods;2020-05-06;32
Ongoing treatment periods at specialised medical care wards;2020-05-07;
Ongoing treatment periods primary health care wards;2020-05-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-07;107
Ongoing intensive care treatment periods;2020-05-07;32
Ongoing treatment periods at specialised medical care wards;2020-05-08;
Ongoing treatment periods primary health care wards;2020-05-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-08;108
Ongoing intensive care treatment periods;2020-05-08;33
Ongoing treatment periods at specialised medical care wards;2020-05-09;
Ongoing treatment periods primary health care wards;2020-05-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-09;103
Ongoing intensive care treatment periods;2020-05-09;34
Ongoing treatment periods at specialised medical care wards;2020-05-10;
Ongoing treatment periods primary health care wards;2020-05-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-10;103
Ongoing intensive care treatment periods;2020-05-10;35
Ongoing treatment periods at specialised medical care wards;2020-05-11;
Ongoing treatment periods primary health care wards;2020-05-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-11;107
Ongoing intensive care treatment periods;2020-05-11;32
Ongoing treatment periods at specialised medical care wards;2020-05-12;
Ongoing treatment periods primary health care wards;2020-05-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-12;105
Ongoing intensive care treatment periods;2020-05-12;25
Ongoing treatment periods at specialised medical care wards;2020-05-13;
Ongoing treatment periods primary health care wards;2020-05-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-13;106
Ongoing intensive care treatment periods;2020-05-13;26
Ongoing treatment periods at specialised medical care wards;2020-05-14;
Ongoing treatment periods primary health care wards;2020-05-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-14;95
Ongoing intensive care treatment periods;2020-05-14;24
Ongoing treatment periods at specialised medical care wards;2020-05-15;
Ongoing treatment periods primary health care wards;2020-05-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-15;74
Ongoing intensive care treatment periods;2020-05-15;23
Ongoing treatment periods at specialised medical care wards;2020-05-16;
Ongoing treatment periods primary health care wards;2020-05-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-16;78
Ongoing intensive care treatment periods;2020-05-16;21
Ongoing treatment periods at specialised medical care wards;2020-05-17;
Ongoing treatment periods primary health care wards;2020-05-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-17;77
Ongoing intensive care treatment periods;2020-05-17;20
Ongoing treatment periods at specialised medical care wards;2020-05-18;
Ongoing treatment periods primary health care wards;2020-05-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-18;71
Ongoing intensive care treatment periods;2020-05-18;25
Ongoing treatment periods at specialised medical care wards;2020-05-19;
Ongoing treatment periods primary health care wards;2020-05-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-19;71
Ongoing intensive care treatment periods;2020-05-19;20
Ongoing treatment periods at specialised medical care wards;2020-05-20;
Ongoing treatment periods primary health care wards;2020-05-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-20;83
Ongoing intensive care treatment periods;2020-05-20;16
Ongoing treatment periods at specialised medical care wards;2020-05-21;
Ongoing treatment periods primary health care wards;2020-05-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-21;77
Ongoing intensive care treatment periods;2020-05-21;18
Ongoing treatment periods at specialised medical care wards;2020-05-22;
Ongoing treatment periods primary health care wards;2020-05-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-22;79
Ongoing intensive care treatment periods;2020-05-22;17
Ongoing treatment periods at specialised medical care wards;2020-05-23;
Ongoing treatment periods primary health care wards;2020-05-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-23;76
Ongoing intensive care treatment periods;2020-05-23;17
Ongoing treatment periods at specialised medical care wards;2020-05-24;
Ongoing treatment periods primary health care wards;2020-05-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-24;78
Ongoing intensive care treatment periods;2020-05-24;15
Ongoing treatment periods at specialised medical care wards;2020-05-25;
Ongoing treatment periods primary health care wards;2020-05-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-25;76
Ongoing intensive care treatment periods;2020-05-25;14
Ongoing treatment periods at specialised medical care wards;2020-05-26;
Ongoing treatment periods primary health care wards;2020-05-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-26;70
Ongoing intensive care treatment periods;2020-05-26;11
Ongoing treatment periods at specialised medical care wards;2020-05-27;
Ongoing treatment periods primary health care wards;2020-05-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-27;63
Ongoing intensive care treatment periods;2020-05-27;11
Ongoing treatment periods at specialised medical care wards;2020-05-28;
Ongoing treatment periods primary health care wards;2020-05-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-28;61
Ongoing intensive care treatment periods;2020-05-28;11
Ongoing treatment periods at specialised medical care wards;2020-05-29;
Ongoing treatment periods primary health care wards;2020-05-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-29;55
Ongoing intensive care treatment periods;2020-05-29;10
Ongoing treatment periods at specialised medical care wards;2020-05-30;
Ongoing treatment periods primary health care wards;2020-05-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-30;49
Ongoing intensive care treatment periods;2020-05-30;10
Ongoing treatment periods at specialised medical care wards;2020-05-31;
Ongoing treatment periods primary health care wards;2020-05-31;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-31;46
Ongoing intensive care treatment periods;2020-05-31;9
Ongoing treatment periods at specialised medical care wards;2020-06-01;
Ongoing treatment periods primary health care wards;2020-06-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-01;47
Ongoing intensive care treatment periods;2020-06-01;9
Ongoing treatment periods at specialised medical care wards;2020-06-02;
Ongoing treatment periods primary health care wards;2020-06-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-02;42
Ongoing intensive care treatment periods;2020-06-02;9
Ongoing treatment periods at specialised medical care wards;2020-06-03;
Ongoing treatment periods primary health care wards;2020-06-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-03;37
Ongoing intensive care treatment periods;2020-06-03;7
Ongoing treatment periods at specialised medical care wards;2020-06-04;
Ongoing treatment periods primary health care wards;2020-06-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-04;36
Ongoing intensive care treatment periods;2020-06-04;7
Ongoing treatment periods at specialised medical care wards;2020-06-05;
Ongoing treatment periods primary health care wards;2020-06-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-05;35
Ongoing intensive care treatment periods;2020-06-05;8
Ongoing treatment periods at specialised medical care wards;2020-06-06;
Ongoing treatment periods primary health care wards;2020-06-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-06;27
Ongoing intensive care treatment periods;2020-06-06;7
Ongoing treatment periods at specialised medical care wards;2020-06-07;
Ongoing treatment periods primary health care wards;2020-06-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-07;27
Ongoing intensive care treatment periods;2020-06-07;6
Ongoing treatment periods at specialised medical care wards;2020-06-08;
Ongoing treatment periods primary health care wards;2020-06-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-08;27
Ongoing intensive care treatment periods;2020-06-08;6
Ongoing treatment periods at specialised medical care wards;2020-06-09;
Ongoing treatment periods primary health care wards;2020-06-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-09;20
Ongoing intensive care treatment periods;2020-06-09;4
Ongoing treatment periods at specialised medical care wards;2020-06-10;
Ongoing treatment periods primary health care wards;2020-06-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-10;20
Ongoing intensive care treatment periods;2020-06-10;4
Ongoing treatment periods at specialised medical care wards;2020-06-11;
Ongoing treatment periods primary health care wards;2020-06-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-11;18
Ongoing intensive care treatment periods;2020-06-11;4
Ongoing treatment periods at specialised medical care wards;2020-06-12;
Ongoing treatment periods primary health care wards;2020-06-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-12;16
Ongoing intensive care treatment periods;2020-06-12;3
Ongoing treatment periods at specialised medical care wards;2020-06-13;
Ongoing treatment periods primary health care wards;2020-06-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-13;21
Ongoing intensive care treatment periods;2020-06-13;2
Ongoing treatment periods at specialised medical care wards;2020-06-14;
Ongoing treatment periods primary health care wards;2020-06-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-14;22
Ongoing intensive care treatment periods;2020-06-14;1
Ongoing treatment periods at specialised medical care wards;2020-06-15;
Ongoing treatment periods primary health care wards;2020-06-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-15;17
Ongoing intensive care treatment periods;2020-06-15;3
Ongoing treatment periods at specialised medical care wards;2020-06-16;
Ongoing treatment periods primary health care wards;2020-06-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-16;18
Ongoing intensive care treatment periods;2020-06-16;2
Ongoing treatment periods at specialised medical care wards;2020-06-17;
Ongoing treatment periods primary health care wards;2020-06-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-17;20
Ongoing intensive care treatment periods;2020-06-17;2
Ongoing treatment periods at specialised medical care wards;2020-06-18;
Ongoing treatment periods primary health care wards;2020-06-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-18;20
Ongoing intensive care treatment periods;2020-06-18;2
Ongoing treatment periods at specialised medical care wards;2020-06-19;
Ongoing treatment periods primary health care wards;2020-06-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-19;20
Ongoing intensive care treatment periods;2020-06-19;2
Ongoing treatment periods at specialised medical care wards;2020-06-20;
Ongoing treatment periods primary health care wards;2020-06-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-20;20
Ongoing intensive care treatment periods;2020-06-20;2
Ongoing treatment periods at specialised medical care wards;2020-06-21;
Ongoing treatment periods primary health care wards;2020-06-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-21;20
Ongoing intensive care treatment periods;2020-06-21;2
Ongoing treatment periods at specialised medical care wards;2020-06-22;
Ongoing treatment periods primary health care wards;2020-06-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-22;18
Ongoing intensive care treatment periods;2020-06-22;2
Ongoing treatment periods at specialised medical care wards;2020-06-23;
Ongoing treatment periods primary health care wards;2020-06-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-23;18
Ongoing intensive care treatment periods;2020-06-23;2
Ongoing treatment periods at specialised medical care wards;2020-06-24;
Ongoing treatment periods primary health care wards;2020-06-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-24;19
Ongoing intensive care treatment periods;2020-06-24;2
Ongoing treatment periods at specialised medical care wards;2020-06-25;
Ongoing treatment periods primary health care wards;2020-06-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-25;19
Ongoing intensive care treatment periods;2020-06-25;2
Ongoing treatment periods at specialised medical care wards;2020-06-26;
Ongoing treatment periods primary health care wards;2020-06-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-26;20
Ongoing intensive care treatment periods;2020-06-26;1
Ongoing treatment periods at specialised medical care wards;2020-06-27;
Ongoing treatment periods primary health care wards;2020-06-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-27;20
Ongoing intensive care treatment periods;2020-06-27;1
Ongoing treatment periods at specialised medical care wards;2020-06-28;
Ongoing treatment periods primary health care wards;2020-06-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-28;20
Ongoing intensive care treatment periods;2020-06-28;1
Ongoing treatment periods at specialised medical care wards;2020-06-29;
Ongoing treatment periods primary health care wards;2020-06-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-29;20
Ongoing intensive care treatment periods;2020-06-29;0
Ongoing treatment periods at specialised medical care wards;2020-06-30;
Ongoing treatment periods primary health care wards;2020-06-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-30;20
Ongoing intensive care treatment periods;2020-06-30;0
Ongoing treatment periods at specialised medical care wards;2020-07-01;
Ongoing treatment periods primary health care wards;2020-07-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-01;22
Ongoing intensive care treatment periods;2020-07-01;0
Ongoing treatment periods at specialised medical care wards;2020-07-02;
Ongoing treatment periods primary health care wards;2020-07-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-02;22
Ongoing intensive care treatment periods;2020-07-02;0
Ongoing treatment periods at specialised medical care wards;2020-07-03;
Ongoing treatment periods primary health care wards;2020-07-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-03;19
Ongoing intensive care treatment periods;2020-07-03;0
Ongoing treatment periods at specialised medical care wards;2020-07-04;
Ongoing treatment periods primary health care wards;2020-07-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-04;19
Ongoing intensive care treatment periods;2020-07-04;0
Ongoing treatment periods at specialised medical care wards;2020-07-05;
Ongoing treatment periods primary health care wards;2020-07-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-05;19
Ongoing intensive care treatment periods;2020-07-05;0
Ongoing treatment periods at specialised medical care wards;2020-07-06;
Ongoing treatment periods primary health care wards;2020-07-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-06;16
Ongoing intensive care treatment periods;2020-07-06;1
Ongoing treatment periods at specialised medical care wards;2020-07-07;
Ongoing treatment periods primary health care wards;2020-07-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-07;16
Ongoing intensive care treatment periods;2020-07-07;1
Ongoing treatment periods at specialised medical care wards;2020-07-08;
Ongoing treatment periods primary health care wards;2020-07-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-08;15
Ongoing intensive care treatment periods;2020-07-08;2
Ongoing treatment periods at specialised medical care wards;2020-07-09;
Ongoing treatment periods primary health care wards;2020-07-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-09;15
Ongoing intensive care treatment periods;2020-07-09;2
Ongoing treatment periods at specialised medical care wards;2020-07-10;
Ongoing treatment periods primary health care wards;2020-07-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-10;3
Ongoing intensive care treatment periods;2020-07-10;0
Ongoing treatment periods at specialised medical care wards;2020-07-11;
Ongoing treatment periods primary health care wards;2020-07-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-11;3
Ongoing intensive care treatment periods;2020-07-11;0
Ongoing treatment periods at specialised medical care wards;2020-07-12;
Ongoing treatment periods primary health care wards;2020-07-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-12;3
Ongoing intensive care treatment periods;2020-07-12;0
Ongoing treatment periods at specialised medical care wards;2020-07-13;
Ongoing treatment periods primary health care wards;2020-07-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-13;4
Ongoing intensive care treatment periods;2020-07-13;1
Ongoing treatment periods at specialised medical care wards;2020-07-14;
Ongoing treatment periods primary health care wards;2020-07-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-14;4
Ongoing intensive care treatment periods;2020-07-14;1
Ongoing treatment periods at specialised medical care wards;2020-07-15;
Ongoing treatment periods primary health care wards;2020-07-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-15;5
Ongoing intensive care treatment periods;2020-07-15;0
Ongoing treatment periods at specialised medical care wards;2020-07-16;
Ongoing treatment periods primary health care wards;2020-07-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-16;5
Ongoing intensive care treatment periods;2020-07-16;0
Ongoing treatment periods at specialised medical care wards;2020-07-17;
Ongoing treatment periods primary health care wards;2020-07-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-17;3
Ongoing intensive care treatment periods;2020-07-17;1
Ongoing treatment periods at specialised medical care wards;2020-07-18;
Ongoing treatment periods primary health care wards;2020-07-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-18;3
Ongoing intensive care treatment periods;2020-07-18;1
Ongoing treatment periods at specialised medical care wards;2020-07-19;
Ongoing treatment periods primary health care wards;2020-07-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-19;3
Ongoing intensive care treatment periods;2020-07-19;1
Ongoing treatment periods at specialised medical care wards;2020-07-20;
Ongoing treatment periods primary health care wards;2020-07-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-20;4
Ongoing intensive care treatment periods;2020-07-20;1
Ongoing treatment periods at specialised medical care wards;2020-07-21;
Ongoing treatment periods primary health care wards;2020-07-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-21;4
Ongoing intensive care treatment periods;2020-07-21;1
Ongoing treatment periods at specialised medical care wards;2020-07-22;
Ongoing treatment periods primary health care wards;2020-07-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-22;3
Ongoing intensive care treatment periods;2020-07-22;0
Ongoing treatment periods at specialised medical care wards;2020-07-23;
Ongoing treatment periods primary health care wards;2020-07-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-23;3
Ongoing intensive care treatment periods;2020-07-23;0
Ongoing treatment periods at specialised medical care wards;2020-07-24;
Ongoing treatment periods primary health care wards;2020-07-24;
