Measure;Time;val
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-04;114
Ongoing intensive care treatment periods;2020-04-04;73
Ongoing treatment periods at specialised medical care wards;2020-04-05;
Ongoing treatment periods primary health care wards;2020-04-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-05;133
Ongoing intensive care treatment periods;2020-04-05;76
Ongoing treatment periods at specialised medical care wards;2020-04-06;
Ongoing treatment periods primary health care wards;2020-04-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-06;147
Ongoing intensive care treatment periods;2020-04-06;81
Ongoing treatment periods at specialised medical care wards;2020-04-07;
Ongoing treatment periods primary health care wards;2020-04-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-07;148
Ongoing intensive care treatment periods;2020-04-07;83
Ongoing treatment periods at specialised medical care wards;2020-04-08;
Ongoing treatment periods primary health care wards;2020-04-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-08;157
Ongoing intensive care treatment periods;2020-04-08;82
Ongoing treatment periods at specialised medical care wards;2020-04-09;
Ongoing treatment periods primary health care wards;2020-04-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-09;162
Ongoing intensive care treatment periods;2020-04-09;82
Ongoing treatment periods at specialised medical care wards;2020-04-10;
Ongoing treatment periods primary health care wards;2020-04-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-10;155
Ongoing intensive care treatment periods;2020-04-10;81
Ongoing treatment periods at specialised medical care wards;2020-04-11;
Ongoing treatment periods primary health care wards;2020-04-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-11;155
Ongoing intensive care treatment periods;2020-04-11;80
Ongoing treatment periods at specialised medical care wards;2020-04-12;
Ongoing treatment periods primary health care wards;2020-04-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-12;158
Ongoing intensive care treatment periods;2020-04-12;77
Ongoing treatment periods at specialised medical care wards;2020-04-13;
Ongoing treatment periods primary health care wards;2020-04-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-13;156
Ongoing intensive care treatment periods;2020-04-13;74
Ongoing treatment periods at specialised medical care wards;2020-04-14;
Ongoing treatment periods primary health care wards;2020-04-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-14;157
Ongoing intensive care treatment periods;2020-04-14;75
Ongoing treatment periods at specialised medical care wards;2020-04-15;
Ongoing treatment periods primary health care wards;2020-04-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-15;151
Ongoing intensive care treatment periods;2020-04-15;75
Ongoing treatment periods at specialised medical care wards;2020-04-16;
Ongoing treatment periods primary health care wards;2020-04-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-16;139
Ongoing intensive care treatment periods;2020-04-16;76
Ongoing treatment periods at specialised medical care wards;2020-04-17;
Ongoing treatment periods primary health care wards;2020-04-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-17;135
Ongoing intensive care treatment periods;2020-04-17;73
Ongoing treatment periods at specialised medical care wards;2020-04-18;
Ongoing treatment periods primary health care wards;2020-04-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-18;129
Ongoing intensive care treatment periods;2020-04-18;70
Ongoing treatment periods at specialised medical care wards;2020-04-19;
Ongoing treatment periods primary health care wards;2020-04-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-19;124
Ongoing intensive care treatment periods;2020-04-19;68
Ongoing treatment periods at specialised medical care wards;2020-04-20;
Ongoing treatment periods primary health care wards;2020-04-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-20;142
Ongoing intensive care treatment periods;2020-04-20;67
Ongoing treatment periods at specialised medical care wards;2020-04-21;
Ongoing treatment periods primary health care wards;2020-04-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-21;139
Ongoing intensive care treatment periods;2020-04-21;63
Ongoing treatment periods at specialised medical care wards;2020-04-22;
Ongoing treatment periods primary health care wards;2020-04-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-22;136
Ongoing intensive care treatment periods;2020-04-22;63
Ongoing treatment periods at specialised medical care wards;2020-04-23;
Ongoing treatment periods primary health care wards;2020-04-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-23;146
Ongoing intensive care treatment periods;2020-04-23;60
Ongoing treatment periods at specialised medical care wards;2020-04-24;
Ongoing treatment periods primary health care wards;2020-04-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-24;138
Ongoing intensive care treatment periods;2020-04-24;61
Ongoing treatment periods at specialised medical care wards;2020-04-25;
Ongoing treatment periods primary health care wards;2020-04-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-25;130
Ongoing intensive care treatment periods;2020-04-25;60
Ongoing treatment periods at specialised medical care wards;2020-04-26;
Ongoing treatment periods primary health care wards;2020-04-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-26;127
Ongoing intensive care treatment periods;2020-04-26;62
Ongoing treatment periods at specialised medical care wards;2020-04-27;
Ongoing treatment periods primary health care wards;2020-04-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-27;131
Ongoing intensive care treatment periods;2020-04-27;56
Ongoing treatment periods at specialised medical care wards;2020-04-28;
Ongoing treatment periods primary health care wards;2020-04-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-28;144
Ongoing intensive care treatment periods;2020-04-28;56
Ongoing treatment periods at specialised medical care wards;2020-04-29;
Ongoing treatment periods primary health care wards;2020-04-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-29;157
Ongoing intensive care treatment periods;2020-04-29;51
Ongoing treatment periods at specialised medical care wards;2020-04-30;
Ongoing treatment periods primary health care wards;2020-04-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-30;139
Ongoing intensive care treatment periods;2020-04-30;48
Ongoing treatment periods at specialised medical care wards;2020-05-01;
Ongoing treatment periods primary health care wards;2020-05-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-01;136
Ongoing intensive care treatment periods;2020-05-01;49
Ongoing treatment periods at specialised medical care wards;2020-05-02;
Ongoing treatment periods primary health care wards;2020-05-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-02;130
Ongoing intensive care treatment periods;2020-05-02;52
Ongoing treatment periods at specialised medical care wards;2020-05-03;
Ongoing treatment periods primary health care wards;2020-05-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-03;136
Ongoing intensive care treatment periods;2020-05-03;49
Ongoing treatment periods at specialised medical care wards;2020-05-04;
Ongoing treatment periods primary health care wards;2020-05-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-04;148
Ongoing intensive care treatment periods;2020-05-04;49
Ongoing treatment periods at specialised medical care wards;2020-05-05;
Ongoing treatment periods primary health care wards;2020-05-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-05;147
Ongoing intensive care treatment periods;2020-05-05;48
Ongoing treatment periods at specialised medical care wards;2020-05-06;
Ongoing treatment periods primary health care wards;2020-05-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-06;144
Ongoing intensive care treatment periods;2020-05-06;44
Ongoing treatment periods at specialised medical care wards;2020-05-07;
Ongoing treatment periods primary health care wards;2020-05-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-07;130
Ongoing intensive care treatment periods;2020-05-07;44
Ongoing treatment periods at specialised medical care wards;2020-05-08;
Ongoing treatment periods primary health care wards;2020-05-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-08;124
Ongoing intensive care treatment periods;2020-05-08;45
Ongoing treatment periods at specialised medical care wards;2020-05-09;
Ongoing treatment periods primary health care wards;2020-05-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-09;116
Ongoing intensive care treatment periods;2020-05-09;45
Ongoing treatment periods at specialised medical care wards;2020-05-10;
Ongoing treatment periods primary health care wards;2020-05-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-10;117
Ongoing intensive care treatment periods;2020-05-10;45
Ongoing treatment periods at specialised medical care wards;2020-05-11;
Ongoing treatment periods primary health care wards;2020-05-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-11;117
Ongoing intensive care treatment periods;2020-05-11;44
Ongoing treatment periods at specialised medical care wards;2020-05-12;
Ongoing treatment periods primary health care wards;2020-05-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-12;118
Ongoing intensive care treatment periods;2020-05-12;34
Ongoing treatment periods at specialised medical care wards;2020-05-13;
Ongoing treatment periods primary health care wards;2020-05-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-13;122
Ongoing intensive care treatment periods;2020-05-13;35
Ongoing treatment periods at specialised medical care wards;2020-05-14;
Ongoing treatment periods primary health care wards;2020-05-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-14;110
Ongoing intensive care treatment periods;2020-05-14;33
Ongoing treatment periods at specialised medical care wards;2020-05-15;
Ongoing treatment periods primary health care wards;2020-05-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-15;86
Ongoing intensive care treatment periods;2020-05-15;32
Ongoing treatment periods at specialised medical care wards;2020-05-16;
Ongoing treatment periods primary health care wards;2020-05-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-16;90
Ongoing intensive care treatment periods;2020-05-16;30
Ongoing treatment periods at specialised medical care wards;2020-05-17;
Ongoing treatment periods primary health care wards;2020-05-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-17;89
Ongoing intensive care treatment periods;2020-05-17;29
Ongoing treatment periods at specialised medical care wards;2020-05-18;
Ongoing treatment periods primary health care wards;2020-05-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-18;83
Ongoing intensive care treatment periods;2020-05-18;34
Ongoing treatment periods at specialised medical care wards;2020-05-19;
Ongoing treatment periods primary health care wards;2020-05-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-19;87
Ongoing intensive care treatment periods;2020-05-19;25
Ongoing treatment periods at specialised medical care wards;2020-05-20;
Ongoing treatment periods primary health care wards;2020-05-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-20;98
Ongoing intensive care treatment periods;2020-05-20;20
Ongoing treatment periods at specialised medical care wards;2020-05-21;
Ongoing treatment periods primary health care wards;2020-05-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-21;88
Ongoing intensive care treatment periods;2020-05-21;22
Ongoing treatment periods at specialised medical care wards;2020-05-22;
Ongoing treatment periods primary health care wards;2020-05-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-22;92
Ongoing intensive care treatment periods;2020-05-22;21
Ongoing treatment periods at specialised medical care wards;2020-05-23;
Ongoing treatment periods primary health care wards;2020-05-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-23;83
Ongoing intensive care treatment periods;2020-05-23;21
Ongoing treatment periods at specialised medical care wards;2020-05-24;
Ongoing treatment periods primary health care wards;2020-05-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-24;87
Ongoing intensive care treatment periods;2020-05-24;19
Ongoing treatment periods at specialised medical care wards;2020-05-25;
Ongoing treatment periods primary health care wards;2020-05-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-25;86
Ongoing intensive care treatment periods;2020-05-25;18
Ongoing treatment periods at specialised medical care wards;2020-05-26;
Ongoing treatment periods primary health care wards;2020-05-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-26;84
Ongoing intensive care treatment periods;2020-05-26;11
Ongoing treatment periods at specialised medical care wards;2020-05-27;
Ongoing treatment periods primary health care wards;2020-05-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-27;76
Ongoing intensive care treatment periods;2020-05-27;11
Ongoing treatment periods at specialised medical care wards;2020-05-28;
Ongoing treatment periods primary health care wards;2020-05-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-28;72
Ongoing intensive care treatment periods;2020-05-28;11
Ongoing treatment periods at specialised medical care wards;2020-05-29;
Ongoing treatment periods primary health care wards;2020-05-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-29;64
Ongoing intensive care treatment periods;2020-05-29;10
Ongoing treatment periods at specialised medical care wards;2020-05-30;
Ongoing treatment periods primary health care wards;2020-05-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-30;60
Ongoing intensive care treatment periods;2020-05-30;11
Ongoing treatment periods at specialised medical care wards;2020-05-31;
Ongoing treatment periods primary health care wards;2020-05-31;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-05-31;58
Ongoing intensive care treatment periods;2020-05-31;10
Ongoing treatment periods at specialised medical care wards;2020-06-01;
Ongoing treatment periods primary health care wards;2020-06-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-01;59
Ongoing intensive care treatment periods;2020-06-01;9
Ongoing treatment periods at specialised medical care wards;2020-06-02;
Ongoing treatment periods primary health care wards;2020-06-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-02;53
Ongoing intensive care treatment periods;2020-06-02;9
Ongoing treatment periods at specialised medical care wards;2020-06-03;
Ongoing treatment periods primary health care wards;2020-06-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-03;44
Ongoing intensive care treatment periods;2020-06-03;7
Ongoing treatment periods at specialised medical care wards;2020-06-04;
Ongoing treatment periods primary health care wards;2020-06-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-04;43
Ongoing intensive care treatment periods;2020-06-04;7
Ongoing treatment periods at specialised medical care wards;2020-06-05;
Ongoing treatment periods primary health care wards;2020-06-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-05;43
Ongoing intensive care treatment periods;2020-06-05;8
Ongoing treatment periods at specialised medical care wards;2020-06-06;
Ongoing treatment periods primary health care wards;2020-06-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-06;32
Ongoing intensive care treatment periods;2020-06-06;7
Ongoing treatment periods at specialised medical care wards;2020-06-07;
Ongoing treatment periods primary health care wards;2020-06-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-07;34
Ongoing intensive care treatment periods;2020-06-07;6
Ongoing treatment periods at specialised medical care wards;2020-06-08;
Ongoing treatment periods primary health care wards;2020-06-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-08;32
Ongoing intensive care treatment periods;2020-06-08;6
Ongoing treatment periods at specialised medical care wards;2020-06-09;
Ongoing treatment periods primary health care wards;2020-06-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-09;24
Ongoing intensive care treatment periods;2020-06-09;4
Ongoing treatment periods at specialised medical care wards;2020-06-10;
Ongoing treatment periods primary health care wards;2020-06-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-10;24
Ongoing intensive care treatment periods;2020-06-10;4
Ongoing treatment periods at specialised medical care wards;2020-06-11;
Ongoing treatment periods primary health care wards;2020-06-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-11;21
Ongoing intensive care treatment periods;2020-06-11;4
Ongoing treatment periods at specialised medical care wards;2020-06-12;
Ongoing treatment periods primary health care wards;2020-06-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-12;20
Ongoing intensive care treatment periods;2020-06-12;3
Ongoing treatment periods at specialised medical care wards;2020-06-13;
Ongoing treatment periods primary health care wards;2020-06-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-13;24
Ongoing intensive care treatment periods;2020-06-13;2
Ongoing treatment periods at specialised medical care wards;2020-06-14;
Ongoing treatment periods primary health care wards;2020-06-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-14;25
Ongoing intensive care treatment periods;2020-06-14;1
Ongoing treatment periods at specialised medical care wards;2020-06-15;
Ongoing treatment periods primary health care wards;2020-06-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-15;19
Ongoing intensive care treatment periods;2020-06-15;3
Ongoing treatment periods at specialised medical care wards;2020-06-16;
Ongoing treatment periods primary health care wards;2020-06-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-16;20
Ongoing intensive care treatment periods;2020-06-16;2
Ongoing treatment periods at specialised medical care wards;2020-06-17;
Ongoing treatment periods primary health care wards;2020-06-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-17;24
Ongoing intensive care treatment periods;2020-06-17;2
Ongoing treatment periods at specialised medical care wards;2020-06-18;
Ongoing treatment periods primary health care wards;2020-06-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-18;24
Ongoing intensive care treatment periods;2020-06-18;2
Ongoing treatment periods at specialised medical care wards;2020-06-19;
Ongoing treatment periods primary health care wards;2020-06-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-19;24
Ongoing intensive care treatment periods;2020-06-19;2
Ongoing treatment periods at specialised medical care wards;2020-06-20;
Ongoing treatment periods primary health care wards;2020-06-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-20;24
Ongoing intensive care treatment periods;2020-06-20;2
Ongoing treatment periods at specialised medical care wards;2020-06-21;
Ongoing treatment periods primary health care wards;2020-06-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-21;24
Ongoing intensive care treatment periods;2020-06-21;2
Ongoing treatment periods at specialised medical care wards;2020-06-22;
Ongoing treatment periods primary health care wards;2020-06-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-22;19
Ongoing intensive care treatment periods;2020-06-22;2
Ongoing treatment periods at specialised medical care wards;2020-06-23;
Ongoing treatment periods primary health care wards;2020-06-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-23;19
Ongoing intensive care treatment periods;2020-06-23;2
Ongoing treatment periods at specialised medical care wards;2020-06-24;
Ongoing treatment periods primary health care wards;2020-06-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-24;20
Ongoing intensive care treatment periods;2020-06-24;2
Ongoing treatment periods at specialised medical care wards;2020-06-25;
Ongoing treatment periods primary health care wards;2020-06-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-25;20
Ongoing intensive care treatment periods;2020-06-25;2
Ongoing treatment periods at specialised medical care wards;2020-06-26;
Ongoing treatment periods primary health care wards;2020-06-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-26;23
Ongoing intensive care treatment periods;2020-06-26;1
Ongoing treatment periods at specialised medical care wards;2020-06-27;
Ongoing treatment periods primary health care wards;2020-06-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-27;23
Ongoing intensive care treatment periods;2020-06-27;1
Ongoing treatment periods at specialised medical care wards;2020-06-28;
Ongoing treatment periods primary health care wards;2020-06-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-28;23
Ongoing intensive care treatment periods;2020-06-28;1
Ongoing treatment periods at specialised medical care wards;2020-06-29;
Ongoing treatment periods primary health care wards;2020-06-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-29;23
Ongoing intensive care treatment periods;2020-06-29;0
Ongoing treatment periods at specialised medical care wards;2020-06-30;
Ongoing treatment periods primary health care wards;2020-06-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-06-30;23
Ongoing intensive care treatment periods;2020-06-30;0
Ongoing treatment periods at specialised medical care wards;2020-07-01;
Ongoing treatment periods primary health care wards;2020-07-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-01;24
Ongoing intensive care treatment periods;2020-07-01;0
Ongoing treatment periods at specialised medical care wards;2020-07-02;
Ongoing treatment periods primary health care wards;2020-07-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-02;24
Ongoing intensive care treatment periods;2020-07-02;0
Ongoing treatment periods at specialised medical care wards;2020-07-03;
Ongoing treatment periods primary health care wards;2020-07-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-03;20
Ongoing intensive care treatment periods;2020-07-03;0
Ongoing treatment periods at specialised medical care wards;2020-07-04;
Ongoing treatment periods primary health care wards;2020-07-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-04;20
Ongoing intensive care treatment periods;2020-07-04;0
Ongoing treatment periods at specialised medical care wards;2020-07-05;
Ongoing treatment periods primary health care wards;2020-07-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-05;20
Ongoing intensive care treatment periods;2020-07-05;0
Ongoing treatment periods at specialised medical care wards;2020-07-06;
Ongoing treatment periods primary health care wards;2020-07-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-06;18
Ongoing intensive care treatment periods;2020-07-06;1
Ongoing treatment periods at specialised medical care wards;2020-07-07;
Ongoing treatment periods primary health care wards;2020-07-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-07;18
Ongoing intensive care treatment periods;2020-07-07;1
Ongoing treatment periods at specialised medical care wards;2020-07-08;
Ongoing treatment periods primary health care wards;2020-07-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-08;17
Ongoing intensive care treatment periods;2020-07-08;2
Ongoing treatment periods at specialised medical care wards;2020-07-09;
Ongoing treatment periods primary health care wards;2020-07-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-09;17
Ongoing intensive care treatment periods;2020-07-09;2
Ongoing treatment periods at specialised medical care wards;2020-07-10;
Ongoing treatment periods primary health care wards;2020-07-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-10;6
Ongoing intensive care treatment periods;2020-07-10;0
Ongoing treatment periods at specialised medical care wards;2020-07-11;
Ongoing treatment periods primary health care wards;2020-07-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-11;6
Ongoing intensive care treatment periods;2020-07-11;0
Ongoing treatment periods at specialised medical care wards;2020-07-12;
Ongoing treatment periods primary health care wards;2020-07-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-12;6
Ongoing intensive care treatment periods;2020-07-12;0
Ongoing treatment periods at specialised medical care wards;2020-07-13;
Ongoing treatment periods primary health care wards;2020-07-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-13;7
Ongoing intensive care treatment periods;2020-07-13;1
Ongoing treatment periods at specialised medical care wards;2020-07-14;
Ongoing treatment periods primary health care wards;2020-07-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-14;7
Ongoing intensive care treatment periods;2020-07-14;1
Ongoing treatment periods at specialised medical care wards;2020-07-15;
Ongoing treatment periods primary health care wards;2020-07-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-15;7
Ongoing intensive care treatment periods;2020-07-15;0
Ongoing treatment periods at specialised medical care wards;2020-07-16;
Ongoing treatment periods primary health care wards;2020-07-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-16;7
Ongoing intensive care treatment periods;2020-07-16;0
Ongoing treatment periods at specialised medical care wards;2020-07-17;
Ongoing treatment periods primary health care wards;2020-07-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-17;5
Ongoing intensive care treatment periods;2020-07-17;1
Ongoing treatment periods at specialised medical care wards;2020-07-18;
Ongoing treatment periods primary health care wards;2020-07-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-18;5
Ongoing intensive care treatment periods;2020-07-18;1
Ongoing treatment periods at specialised medical care wards;2020-07-19;
Ongoing treatment periods primary health care wards;2020-07-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-19;5
Ongoing intensive care treatment periods;2020-07-19;1
Ongoing treatment periods at specialised medical care wards;2020-07-20;
Ongoing treatment periods primary health care wards;2020-07-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-20;5
Ongoing intensive care treatment periods;2020-07-20;1
Ongoing treatment periods at specialised medical care wards;2020-07-21;
Ongoing treatment periods primary health care wards;2020-07-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-21;5
Ongoing intensive care treatment periods;2020-07-21;1
Ongoing treatment periods at specialised medical care wards;2020-07-22;
Ongoing treatment periods primary health care wards;2020-07-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-22;4
Ongoing intensive care treatment periods;2020-07-22;0
Ongoing treatment periods at specialised medical care wards;2020-07-23;
Ongoing treatment periods primary health care wards;2020-07-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-07-23;4
Ongoing intensive care treatment periods;2020-07-23;0
Ongoing treatment periods at specialised medical care wards;2020-07-24;
Ongoing treatment periods primary health care wards;2020-07-24;
